math,physics,chemistry,cs,coding_interest,analytical_interest,machine_interest,building_interest,electronics_interest,logic_aptitude,target_career
66,80,85,67,31,93,71,68,98,81,Robotics / Automation
88,73,68,71,48,89,88,56,98,80,Robotics / Automation
86,76,100,59,21,26,27,11,34,44,Software Development
82,64,56,74,99,34,13,36,71,48,Data Science / AI
77,100,67,54,65,90,78,34,21,68,Robotics / Automation
79,40,68,75,28,70,64,12,24,51,Cybersecurity
86,86,62,72,99,66,72,70,12,87,Data Science / AI
63,55,74,52,35,47,82,60,16,72,Software Development
68,57,78,100,23,90,65,63,73,100,Electronics & Communication
55,44,68,75,14,72,61,72,75,92,Cloud / DevOps
78,65,66,81,17,77,12,64,83,70,Electrical Engineering
90,42,64,78,44,92,63,70,24,93,Civil Engineering
61,97,60,74,67,99,65,12,30,66,Cloud / DevOps
83,63,42,67,70,54,66,39,74,58,Electronics & Communication
90,66,57,91,87,94,69,26,47,79,Cloud / DevOps
70,64,72,88,96,93,56,70,30,56,Mechanical Engineering
100,84,87,65,98,21,95,71,26,52,Data Science / AI
59,72,71,55,30,87,72,22,63,93,Robotics / Automation
72,77,75,84,40,36,81,16,12,75,Robotics / Automation
79,64,62,53,55,96,30,32,74,34,Electrical Engineering
100,72,66,58,53,65,24,89,39,45,Civil Engineering
100,55,63,82,81,38,72,43,53,75,Software Development
84,86,97,84,81,44,29,98,75,43,Software Development
59,68,74,100,66,68,24,23,88,43,Electronics & Communication
54,90,72,90,15,74,23,31,90,45,Cloud / DevOps
73,59,81,86,56,30,47,100,66,94,Robotics / Automation
89,71,61,46,22,29,92,56,52,47,Mechanical Engineering
87,78,55,65,35,66,63,10,41,90,Civil Engineering
67,49,57,54,46,74,31,20,44,77,Electrical Engineering
68,60,45,100,56,90,95,41,29,97,Electrical Engineering
93,60,74,82,39,27,64,62,62,88,Electronics & Communication
92,59,86,65,97,56,13,66,28,31,Software Development
54,82,89,100,20,53,50,61,31,85,Software Development
57,82,63,89,60,14,94,92,29,37,Robotics / Automation
52,53,58,76,63,61,97,99,80,68,Civil Engineering
65,81,85,85,54,11,45,77,88,48,Civil Engineering
99,78,51,99,99,61,67,92,36,99,Cloud / DevOps
65,85,93,83,99,54,93,61,35,68,Mechanical Engineering
52,58,89,71,14,78,52,59,26,96,Electronics & Communication
76,83,80,80,46,37,21,75,80,69,Electronics & Communication
71,67,82,84,91,30,12,13,79,63,Data Science / AI
71,88,68,59,48,64,74,24,17,77,Robotics / Automation
63,57,65,97,90,74,55,25,16,45,Robotics / Automation
62,74,60,70,48,83,10,68,53,60,Electronics & Communication
52,68,67,84,86,39,54,48,46,47,Electrical Engineering
78,54,86,78,76,41,23,51,76,54,Cybersecurity
77,71,62,78,68,22,28,64,62,40,Data Science / AI
82,45,61,70,17,64,26,70,37,87,Data Science / AI
78,89,58,66,57,96,77,61,85,96,Robotics / Automation
67,59,64,88,43,84,73,91,64,86,Robotics / Automation
59,78,44,64,63,30,28,74,26,92,Civil Engineering
70,97,65,40,68,26,100,75,77,45,Mechanical Engineering
45,72,79,81,68,70,14,30,81,77,Data Science / AI
77,89,61,91,87,62,24,25,57,67,Software Development
50,58,42,70,76,29,25,57,49,77,Mechanical Engineering
74,73,70,58,47,72,13,28,28,83,Software Development
72,49,90,69,49,46,37,33,72,30,Electrical Engineering
67,95,51,54,80,54,18,15,63,91,Mechanical Engineering
58,70,76,88,82,67,53,58,70,46,Cybersecurity
100,40,79,64,74,91,68,67,95,87,Electrical Engineering
66,62,56,100,51,21,89,95,89,82,Electronics & Communication
87,72,90,47,39,60,53,79,15,86,Civil Engineering
55,40,59,77,45,92,21,31,100,33,Mechanical Engineering
76,74,48,89,81,92,25,92,81,40,Data Science / AI
78,82,41,80,89,79,83,16,82,96,Data Science / AI
57,66,78,76,70,74,12,25,94,98,Cybersecurity
62,72,47,95,12,45,36,41,100,86,Data Science / AI
71,88,62,65,78,87,51,61,85,35,Cloud / DevOps
63,85,59,86,12,53,65,33,63,33,Electronics & Communication
69,42,61,53,50,58,42,21,24,42,Electronics & Communication
75,54,83,73,31,46,28,33,42,41,Cybersecurity
72,81,84,74,49,62,96,31,17,71,Mechanical Engineering
63,45,59,63,13,17,48,59,22,70,Cybersecurity
76,66,80,63,62,51,43,58,25,36,Cloud / DevOps
74,89,75,73,40,86,85,40,73,95,Robotics / Automation
65,62,57,65,24,44,17,50,69,100,Electrical Engineering
86,68,49,100,18,71,13,62,91,59,Electrical Engineering
79,50,63,76,44,80,85,96,22,61,Electronics & Communication
100,55,84,100,93,26,48,82,62,87,Software Development
65,67,54,71,91,74,36,28,57,99,Cybersecurity
74,81,86,61,41,78,64,81,67,35,Civil Engineering
45,71,74,79,10,69,89,47,93,51,Mechanical Engineering
70,73,92,81,17,71,44,86,42,78,Civil Engineering
69,64,67,100,54,90,37,84,75,66,Electrical Engineering
72,71,62,94,30,78,82,18,48,41,Robotics / Automation
100,78,71,75,99,25,27,81,45,85,Data Science / AI
40,83,72,82,88,74,50,97,53,63,Civil Engineering
64,66,63,93,100,67,44,41,94,71,Civil Engineering
69,100,76,52,36,68,86,52,12,47,Mechanical Engineering
73,62,40,100,87,70,10,11,96,52,Cloud / DevOps
85,79,72,50,81,99,100,72,60,98,Software Development
67,84,54,40,93,93,19,78,13,86,Civil Engineering
71,69,72,88,96,25,55,58,86,75,Cloud / DevOps
84,75,87,47,32,99,11,25,69,77,Cloud / DevOps
82,81,51,47,66,11,38,12,45,75,Cloud / DevOps
63,62,81,63,21,88,90,48,38,59,Robotics / Automation
62,62,86,75,56,14,45,73,100,56,Software Development
72,70,89,61,35,91,60,24,45,94,Robotics / Automation
94,75,67,100,31,80,34,94,82,52,Electrical Engineering
59,66,51,92,85,26,18,26,43,59,Electronics & Communication
100,97,88,71,45,34,96,12,98,98,Robotics / Automation
69,46,100,83,97,81,68,10,64,36,Civil Engineering
67,91,55,82,65,62,45,25,97,96,Electronics & Communication
72,81,69,48,73,56,76,15,38,36,Robotics / Automation
76,87,69,88,63,78,67,50,10,80,Cloud / DevOps
59,71,60,88,52,20,83,13,38,84,Mechanical Engineering
75,82,86,87,41,35,31,52,49,38,Data Science / AI
79,57,69,65,13,71,65,13,85,72,Electronics & Communication
69,66,55,40,41,23,70,40,53,36,Civil Engineering
64,74,49,75,76,40,19,86,89,86,Civil Engineering
100,87,94,82,22,90,67,84,25,40,Civil Engineering
92,61,60,40,17,14,58,50,98,38,Electrical Engineering
92,95,61,70,17,66,17,48,88,85,Electrical Engineering
63,77,86,43,23,96,17,81,16,67,Civil Engineering
81,67,71,83,58,61,22,89,62,59,Civil Engineering
72,70,66,92,86,94,89,11,68,79,Cloud / DevOps
81,75,50,68,64,89,89,22,53,33,Robotics / Automation
88,72,79,100,76,52,85,34,23,43,Software Development
90,73,62,40,86,18,85,34,83,46,Cybersecurity
72,67,75,72,55,63,71,89,66,53,Civil Engineering
70,45,55,83,41,27,15,17,26,69,Electrical Engineering
100,70,74,92,75,93,55,49,84,99,Electrical Engineering
62,77,58,90,28,70,49,87,53,67,Civil Engineering
77,76,58,87,57,11,76,85,94,48,Mechanical Engineering
100,56,64,79,40,74,81,16,64,74,Cloud / DevOps
86,63,40,99,35,91,35,18,53,54,Robotics / Automation
86,45,60,100,98,98,69,86,98,72,Cybersecurity
96,86,67,76,88,48,63,52,30,43,Cloud / DevOps
73,88,56,60,15,73,38,10,91,58,Electrical Engineering
90,71,90,62,69,89,37,40,71,72,Electronics & Communication
74,58,70,48,36,61,33,10,56,31,Data Science / AI
67,50,80,87,55,13,81,24,28,67,Robotics / Automation
49,92,100,75,34,90,84,56,15,33,Mechanical Engineering
65,100,50,75,35,46,32,38,43,52,Civil Engineering
77,92,75,66,80,41,32,35,12,52,Cybersecurity
60,66,54,75,22,12,96,27,58,44,Civil Engineering
66,49,88,66,36,49,68,40,57,77,Cybersecurity
55,69,71,43,77,89,65,18,25,48,Cybersecurity
79,56,95,84,34,34,78,58,98,77,Electronics & Communication
69,60,68,86,86,64,91,41,15,54,Electronics & Communication
74,68,70,64,47,29,51,41,16,65,Cybersecurity
69,40,84,80,75,84,72,36,20,90,Data Science / AI
63,100,71,56,31,75,59,92,75,77,Civil Engineering
87,77,75,67,73,76,69,32,51,77,Electronics & Communication
81,68,78,40,98,71,73,70,44,81,Software Development
68,97,58,64,36,38,35,67,40,80,Cloud / DevOps
68,53,40,70,49,64,58,83,30,77,Mechanical Engineering
77,71,67,75,80,20,27,20,47,86,Cybersecurity
90,69,61,69,39,84,15,69,75,73,Electronics & Communication
83,93,60,76,67,69,65,62,57,93,Civil Engineering
80,57,70,48,44,58,13,32,66,59,Mechanical Engineering
48,77,64,78,92,19,55,20,47,94,Electronics & Communication
74,57,69,52,79,92,20,45,39,42,Software Development
95,51,67,56,19,56,14,79,35,72,Cloud / DevOps
83,67,62,90,96,52,42,48,97,65,Data Science / AI
75,79,55,49,100,87,27,79,43,31,Cybersecurity
76,67,79,73,46,54,61,61,84,31,Electronics & Communication
78,47,98,72,93,75,29,60,39,59,Data Science / AI
85,59,74,51,70,39,76,85,80,89,Electronics & Communication
81,66,70,87,53,20,50,34,64,83,Cloud / DevOps
56,61,76,100,66,67,81,13,57,47,Cybersecurity
72,80,68,100,49,11,73,94,55,73,Mechanical Engineering
48,73,45,40,63,64,97,61,98,98,Robotics / Automation
79,74,65,73,51,85,12,82,14,47,Civil Engineering
100,68,77,63,29,52,82,90,87,80,Electronics & Communication
79,68,63,100,36,60,18,78,59,54,Civil Engineering
92,74,40,68,70,23,52,82,67,68,Civil Engineering
100,68,86,100,21,31,23,96,80,52,Electrical Engineering
78,59,40,87,98,87,72,13,33,55,Software Development
62,74,51,70,59,46,36,39,47,97,Data Science / AI
75,76,53,96,68,17,57,76,11,51,Civil Engineering
66,46,68,75,51,62,60,30,24,46,Electronics & Communication
77,92,66,72,63,71,18,59,36,46,Cloud / DevOps
58,84,72,67,49,65,100,95,70,50,Robotics / Automation
46,93,51,64,85,35,74,97,68,65,Mechanical Engineering
80,54,47,40,10,28,67,18,61,61,Electronics & Communication
85,63,100,57,52,82,72,68,69,35,Data Science / AI
61,63,73,66,46,92,68,54,99,68,Electrical Engineering
84,57,49,42,88,32,63,41,32,85,Cloud / DevOps
41,64,65,63,59,94,33,99,82,42,Electrical Engineering
93,90,64,42,99,15,40,30,45,98,Cybersecurity
66,63,60,62,95,18,99,37,73,82,Electrical Engineering
65,66,60,78,57,19,23,74,51,82,Civil Engineering
80,58,89,57,67,31,42,36,74,35,Electronics & Communication
50,77,57,80,13,19,91,98,96,89,Robotics / Automation
40,92,80,47,53,61,34,60,14,31,Mechanical Engineering
52,97,58,59,24,100,27,51,95,89,Robotics / Automation
41,66,66,87,69,18,20,80,94,61,Civil Engineering
54,49,76,93,66,27,70,45,30,51,Software Development
51,88,70,94,87,22,32,47,25,98,Electrical Engineering
73,40,67,94,31,19,95,11,96,64,Electrical Engineering
61,66,67,40,66,55,32,37,14,98,Cloud / DevOps
100,58,77,73,66,99,16,91,76,43,Electronics & Communication
93,78,66,58,98,49,66,16,86,30,Software Development
86,43,79,55,58,35,41,57,40,55,Data Science / AI
93,74,79,76,12,63,13,11,53,54,Data Science / AI
48,59,80,77,38,22,95,31,31,35,Electrical Engineering
92,78,55,60,75,23,51,51,81,54,Electrical Engineering
76,40,95,82,79,60,64,25,39,57,Software Development
93,48,88,100,55,51,32,11,61,70,Software Development
55,83,70,47,59,37,68,38,18,65,Civil Engineering
82,84,60,95,15,18,37,62,48,93,Data Science / AI
49,49,72,75,78,82,31,42,22,71,Electrical Engineering
64,84,77,90,96,98,27,52,32,70,Robotics / Automation
73,81,63,100,18,52,12,87,84,87,Electronics & Communication
62,100,70,50,75,91,39,74,85,31,Civil Engineering
95,73,82,97,39,12,88,25,49,60,Robotics / Automation
80,63,84,75,41,89,20,17,27,77,Robotics / Automation
85,40,76,63,47,35,29,58,36,34,Cloud / DevOps
99,81,73,83,86,66,52,27,45,70,Software Development
60,96,99,82,76,63,92,46,13,59,Robotics / Automation
98,63,58,75,53,41,36,79,16,61,Cloud / DevOps
81,66,78,80,87,58,76,51,33,86,Software Development
60,79,82,78,18,72,18,34,16,48,Cloud / DevOps
92,53,77,53,26,21,32,85,80,56,Electrical Engineering
58,62,55,65,74,20,64,69,49,51,Cloud / DevOps
71,84,65,46,41,64,32,87,41,68,Civil Engineering
92,59,69,83,46,83,67,91,35,64,Robotics / Automation
77,88,77,59,20,56,60,58,31,90,Robotics / Automation
100,74,67,92,64,74,88,65,29,91,Mechanical Engineering
78,77,100,70,58,64,20,48,86,98,Electrical Engineering
70,73,86,47,80,32,42,58,69,69,Robotics / Automation
45,63,45,67,46,58,81,87,71,39,Civil Engineering
82,58,48,76,27,70,35,29,34,30,Software Development
87,46,82,89,74,57,72,61,63,80,Civil Engineering
89,90,100,68,59,72,49,92,85,39,Electronics & Communication
76,65,70,100,14,25,59,82,30,54,Electrical Engineering
54,59,90,93,42,54,75,100,72,77,Software Development
69,84,75,100,93,59,64,41,41,91,Software Development
76,87,100,85,56,90,100,96,13,48,Robotics / Automation
75,82,64,100,87,68,97,28,42,61,Data Science / AI
77,67,57,94,11,24,21,92,59,80,Civil Engineering
88,64,78,47,100,85,20,76,34,84,Data Science / AI
77,78,95,61,64,42,98,48,74,98,Robotics / Automation
55,58,49,99,85,49,62,21,23,74,Cybersecurity
98,76,88,77,44,36,60,99,49,30,Civil Engineering
73,67,65,47,31,72,10,22,18,83,Electronics & Communication
78,71,81,76,63,93,46,65,31,52,Civil Engineering
72,58,71,88,33,100,27,35,72,53,Electrical Engineering
57,73,73,62,67,82,37,33,35,37,Cybersecurity
66,75,52,81,34,43,62,66,90,43,Electrical Engineering
61,87,100,59,20,47,20,58,25,65,Data Science / AI
83,61,85,52,53,13,84,40,71,92,Electrical Engineering
82,58,66,56,11,17,44,10,95,35,Electrical Engineering
87,59,78,68,37,76,10,58,87,96,Electronics & Communication
73,74,58,78,72,70,53,87,64,73,Civil Engineering
97,60,87,100,57,97,53,50,40,76,Electrical Engineering
62,50,74,65,58,88,17,55,52,42,Software Development
100,72,57,54,68,99,61,27,13,45,Electronics & Communication
91,63,70,92,45,99,41,57,67,90,Electronics & Communication
67,71,69,87,62,94,34,10,91,71,Electrical Engineering
83,68,70,68,91,56,15,51,96,86,Data Science / AI
52,75,98,59,87,72,61,88,20,74,Civil Engineering
63,58,80,83,64,70,94,99,22,79,Mechanical Engineering
72,58,71,46,87,34,28,76,83,94,Software Development
77,85,51,47,26,73,21,48,96,100,Electronics & Communication
98,62,87,72,31,67,24,71,94,99,Electrical Engineering
72,78,56,77,41,37,31,94,99,41,Electrical Engineering
69,52,75,70,65,13,30,51,59,65,Cloud / DevOps
72,53,93,90,42,95,70,95,25,47,Electronics & Communication
89,67,44,100,91,72,21,98,52,58,Software Development
74,60,76,96,92,53,58,58,93,85,Data Science / AI
74,91,86,55,38,43,24,47,21,44,Data Science / AI
64,86,40,72,53,85,34,24,83,77,Cybersecurity
53,64,65,68,50,58,83,10,49,37,Electronics & Communication
66,55,100,100,34,59,64,50,56,46,Electronics & Communication
57,95,64,77,94,87,85,38,23,80,Mechanical Engineering
74,62,84,77,78,68,50,28,47,58,Cloud / DevOps
67,52,56,45,97,68,28,86,46,48,Software Development
75,54,66,99,86,50,49,74,98,45,Cybersecurity
92,71,68,100,100,83,71,90,37,93,Cybersecurity
82,67,48,82,100,58,17,52,29,56,Data Science / AI
87,62,74,68,99,16,32,72,60,68,Data Science / AI
72,40,66,92,12,80,60,53,64,90,Civil Engineering
65,72,58,81,60,60,19,77,46,66,Civil Engineering
71,57,89,91,99,34,99,80,60,42,Data Science / AI
65,79,78,86,51,84,16,100,48,88,Civil Engineering
49,87,61,68,93,30,83,27,66,91,Robotics / Automation
100,76,64,40,28,36,37,35,93,31,Electronics & Communication
95,51,54,69,83,23,96,28,58,84,Data Science / AI
96,83,67,80,17,22,55,70,32,36,Data Science / AI
65,74,71,92,75,93,53,85,65,49,Civil Engineering
89,79,64,88,90,61,41,14,25,60,Cloud / DevOps
73,55,63,76,72,48,98,86,32,78,Data Science / AI
88,69,51,76,69,93,58,45,90,86,Electronics & Communication
76,74,83,93,11,25,24,20,25,92,Electronics & Communication
66,62,54,87,38,12,85,83,83,91,Electronics & Communication
96,67,66,100,98,22,85,33,59,91,Cloud / DevOps
82,78,52,87,48,83,26,22,51,38,Electronics & Communication
61,54,64,64,33,61,99,12,60,98,Electronics & Communication
71,50,84,95,72,18,76,84,78,45,Electrical Engineering
45,86,57,90,94,25,33,86,98,53,Civil Engineering
73,72,67,96,10,81,67,50,25,35,Cybersecurity
56,81,86,87,83,36,93,30,21,62,Mechanical Engineering
100,64,84,73,20,25,74,48,56,99,Cybersecurity
93,71,64,98,64,94,10,41,48,35,Electronics & Communication
67,50,62,86,47,94,78,66,27,92,Civil Engineering
95,73,89,50,76,55,87,78,75,56,Software Development
68,67,68,76,94,15,40,14,34,48,Mechanical Engineering
85,65,72,74,37,27,87,80,37,75,Mechanical Engineering
61,70,67,72,26,89,64,19,80,62,Mechanical Engineering
75,73,63,97,58,93,30,61,68,40,Mechanical Engineering
57,61,100,56,96,64,98,28,78,56,Data Science / AI
54,83,40,70,90,44,91,99,92,54,Robotics / Automation
100,48,40,48,82,94,92,75,87,50,Cloud / DevOps
88,88,62,87,29,50,65,58,13,61,Data Science / AI
95,98,66,40,44,25,78,24,97,100,Robotics / Automation
62,65,66,71,18,52,91,21,56,72,Mechanical Engineering
91,91,67,94,28,38,45,11,22,78,Cloud / DevOps
80,72,83,76,58,23,25,32,77,69,Electronics & Communication
100,50,62,72,22,77,54,99,83,66,Electronics & Communication
81,91,69,49,87,22,16,31,50,79,Data Science / AI
87,83,40,74,54,96,78,80,86,81,Robotics / Automation
51,62,56,89,85,26,43,11,97,95,Cybersecurity
76,52,83,49,94,26,28,58,82,64,Software Development
79,59,64,84,91,57,100,41,96,83,Cloud / DevOps
82,92,68,80,33,66,55,69,74,66,Electronics & Communication
68,74,76,73,64,76,39,49,91,41,Electronics & Communication
47,76,75,62,62,50,21,91,20,39,Civil Engineering
55,94,77,70,40,21,31,83,17,40,Civil Engineering
57,59,89,77,46,80,73,11,64,95,Cybersecurity
66,79,57,100,71,73,75,97,96,98,Mechanical Engineering
95,65,60,40,61,11,88,34,10,84,Electronics & Communication
52,51,72,69,54,41,94,77,97,35,Robotics / Automation
54,67,77,84,31,96,77,38,32,39,Civil Engineering
46,70,49,91,27,75,55,16,64,93,Electrical Engineering
86,58,58,66,31,57,24,53,96,61,Electrical Engineering
41,77,65,92,47,48,71,47,43,57,Mechanical Engineering
58,62,47,56,90,82,60,37,49,95,Software Development
57,86,59,77,69,89,72,17,55,30,Robotics / Automation
69,52,67,85,52,48,55,23,10,74,Cybersecurity
56,84,57,66,61,55,11,22,65,92,Cloud / DevOps
82,62,70,69,20,77,75,29,62,45,Robotics / Automation
76,40,42,86,10,29,94,42,38,90,Electrical Engineering
90,58,66,80,57,48,56,64,33,98,Mechanical Engineering
85,41,56,69,23,66,94,66,30,47,Civil Engineering
85,100,66,49,65,10,55,100,35,44,Civil Engineering
81,91,71,58,34,46,15,27,60,83,Civil Engineering
89,81,54,81,14,30,95,35,71,64,Mechanical Engineering
89,89,69,68,63,72,80,73,97,46,Robotics / Automation
93,53,76,50,61,74,59,26,24,43,Software Development
90,68,89,83,26,29,54,74,11,60,Civil Engineering
56,93,93,90,16,96,53,64,86,31,Electrical Engineering
63,67,72,62,71,47,46,72,20,84,Civil Engineering
100,74,40,81,41,89,29,75,33,61,Civil Engineering
69,70,64,89,45,24,43,99,41,84,Civil Engineering
91,76,64,74,35,70,100,23,99,94,Mechanical Engineering
75,59,78,83,34,85,90,91,29,59,Data Science / AI
98,90,59,89,26,61,14,45,34,48,Electrical Engineering
60,82,62,56,12,88,35,21,16,78,Electrical Engineering
79,40,43,71,77,49,99,91,39,58,Cybersecurity
76,66,46,60,64,71,17,75,64,36,Civil Engineering
80,80,69,95,48,24,44,56,45,74,Electrical Engineering
80,60,65,49,41,50,16,33,15,30,Software Development
73,88,80,100,94,51,37,46,70,65,Software Development
70,92,67,100,65,33,42,72,56,72,Civil Engineering
74,82,92,71,48,24,22,95,11,100,Civil Engineering
78,91,68,51,26,52,56,56,85,97,Electronics & Communication
100,64,72,95,40,93,45,36,84,79,Electrical Engineering
65,56,73,42,23,26,90,87,25,35,Cloud / DevOps
70,75,65,47,34,100,67,22,19,99,Civil Engineering
98,73,91,70,48,70,35,78,29,35,Civil Engineering
61,76,66,53,26,34,63,80,42,74,Civil Engineering
97,62,42,98,56,67,90,25,65,38,Robotics / Automation
67,62,43,100,63,77,74,12,31,65,Cybersecurity
55,72,83,82,47,15,82,17,98,54,Robotics / Automation
74,46,57,78,73,97,78,75,19,51,Robotics / Automation
63,75,80,92,75,59,81,59,61,64,Mechanical Engineering
56,100,81,74,33,10,30,83,37,31,Civil Engineering
91,100,48,70,75,68,74,100,77,63,Robotics / Automation
40,74,75,74,38,47,100,44,80,45,Mechanical Engineering
65,41,75,100,38,15,78,40,47,35,Cybersecurity
66,78,46,83,45,27,44,16,92,61,Electrical Engineering
69,60,58,67,78,24,10,93,54,77,Civil Engineering
80,52,64,74,20,100,80,43,27,82,Mechanical Engineering
58,98,57,62,51,17,90,11,55,58,Robotics / Automation
60,98,78,58,32,42,12,78,94,43,Civil Engineering
91,75,73,68,98,58,93,42,90,100,Data Science / AI
63,77,61,100,66,38,51,44,36,80,Cybersecurity
55,95,68,80,67,39,65,57,28,91,Data Science / AI
87,62,82,40,73,33,68,33,32,54,Robotics / Automation
64,58,51,71,33,92,46,12,49,50,Cybersecurity
80,82,73,63,60,97,87,34,18,48,Mechanical Engineering
80,73,84,88,64,41,68,92,61,42,Civil Engineering
75,58,60,65,77,27,11,87,22,78,Cloud / DevOps
70,76,80,74,12,24,11,92,15,46,Civil Engineering
75,74,62,58,41,20,44,28,90,31,Electrical Engineering
48,61,77,62,23,79,53,100,20,55,Cybersecurity
71,78,77,55,71,82,66,30,49,72,Robotics / Automation
89,88,53,60,29,41,17,79,98,64,Electrical Engineering
92,69,40,49,12,15,23,79,47,43,Civil Engineering
71,54,63,75,75,63,28,10,38,33,Cloud / DevOps
96,67,86,100,64,59,28,55,93,66,Electrical Engineering
96,76,40,83,97,59,97,24,72,51,Software Development
90,70,96,90,38,23,46,55,19,72,Data Science / AI
83,88,75,40,56,20,15,87,29,52,Civil Engineering
67,89,57,70,64,77,52,86,33,84,Civil Engineering
59,98,95,59,29,95,97,48,89,66,Robotics / Automation
77,61,79,84,23,44,73,94,57,63,Data Science / AI
87,76,100,56,10,29,93,28,50,48,Robotics / Automation
49,66,46,48,67,71,18,24,83,84,Mechanical Engineering
59,58,55,84,28,21,51,26,33,79,Civil Engineering
67,69,83,61,50,73,64,71,98,82,Electronics & Communication
71,77,40,40,27,93,41,59,63,100,Robotics / Automation
80,79,100,77,78,78,73,78,78,59,Cloud / DevOps
87,69,74,100,20,84,63,77,83,58,Electrical Engineering
43,78,100,80,40,56,10,36,12,76,Electronics & Communication
99,62,69,75,70,27,24,17,54,76,Cybersecurity
41,54,53,89,47,68,28,80,63,61,Cloud / DevOps
88,76,82,72,38,17,27,25,99,48,Electronics & Communication
93,72,70,70,13,99,64,57,16,43,Data Science / AI
85,65,84,54,71,86,30,13,28,76,Cybersecurity
58,82,68,66,20,41,19,11,82,83,Cybersecurity
88,62,66,100,33,70,27,77,99,68,Electronics & Communication
98,95,65,97,62,53,66,92,98,31,Electronics & Communication
60,58,40,100,24,29,17,92,14,52,Electronics & Communication
62,70,56,87,30,11,60,64,97,88,Electronics & Communication
69,52,76,49,43,83,74,49,100,59,Electronics & Communication
62,40,48,78,30,44,21,76,58,46,Cloud / DevOps
45,49,69,65,61,89,17,38,60,53,Electronics & Communication
100,99,56,85,87,19,98,69,71,70,Cloud / DevOps
86,63,47,74,58,31,16,57,92,84,Electrical Engineering
72,65,76,61,44,23,23,19,56,72,Software Development
57,73,75,53,40,46,30,79,23,38,Civil Engineering
88,45,61,70,37,86,11,49,34,100,Cloud / DevOps
65,63,98,59,91,14,40,44,20,35,Robotics / Automation
100,78,71,83,15,16,50,21,49,31,Civil Engineering
100,57,53,61,46,60,74,34,50,80,Civil Engineering
75,46,70,100,26,99,96,22,52,82,Electronics & Communication
77,67,60,91,22,74,29,13,85,78,Electronics & Communication
62,99,99,79,85,14,47,30,29,89,Data Science / AI
74,87,86,60,90,21,39,37,97,48,Data Science / AI
67,52,76,86,74,76,87,93,76,73,Electronics & Communication
54,65,49,58,26,53,47,56,89,85,Software Development
83,60,65,45,97,59,40,36,88,39,Data Science / AI
77,71,59,71,82,90,73,22,11,48,Cybersecurity
77,59,47,100,80,21,73,22,68,70,Data Science / AI
65,70,85,100,47,30,18,45,83,76,Civil Engineering
56,78,59,65,21,19,32,100,68,63,Civil Engineering
64,55,69,48,70,42,66,93,27,45,Robotics / Automation
89,72,76,66,15,56,46,61,62,46,Robotics / Automation
69,76,52,68,56,75,89,50,57,40,Robotics / Automation
62,58,40,99,74,67,43,97,15,37,Cloud / DevOps
64,89,86,51,99,81,11,29,23,67,Electrical Engineering
58,100,96,74,30,82,61,19,38,79,Robotics / Automation
78,62,76,62,95,21,54,69,69,98,Cloud / DevOps
44,52,70,54,23,20,33,23,60,85,Cloud / DevOps
73,55,58,90,61,52,18,50,53,92,Cloud / DevOps
78,71,83,83,99,70,24,45,68,34,Data Science / AI
96,65,63,51,70,28,91,37,50,34,Electrical Engineering
68,86,89,92,17,56,65,70,37,36,Cloud / DevOps
48,88,42,91,12,97,64,44,42,52,Data Science / AI
69,82,50,96,28,18,45,61,20,68,Robotics / Automation
53,61,55,43,63,77,37,95,43,53,Software Development
76,99,100,76,21,64,53,48,31,55,Civil Engineering
91,75,77,68,63,71,70,78,98,50,Electronics & Communication
77,80,61,73,55,98,83,59,11,55,Mechanical Engineering
74,84,54,74,95,84,88,28,51,70,Software Development
100,89,90,75,29,68,28,73,50,44,Civil Engineering
79,87,93,40,96,62,43,76,10,87,Data Science / AI
55,91,65,62,91,67,91,84,22,34,Mechanical Engineering
56,63,48,100,34,63,99,79,31,78,Cloud / DevOps
74,71,78,92,54,36,34,96,83,31,Electronics & Communication
89,88,60,69,56,12,48,49,74,45,Electronics & Communication
86,64,69,82,93,68,62,62,55,75,Cloud / DevOps
86,45,80,70,76,52,24,32,68,84,Cybersecurity
85,83,94,99,32,80,86,30,79,85,Robotics / Automation
95,93,74,75,46,94,98,97,65,66,Mechanical Engineering
88,82,65,82,21,23,21,93,12,82,Civil Engineering
74,59,89,75,23,73,89,79,22,86,Electronics & Communication
100,47,61,75,84,14,95,47,63,57,Data Science / AI
92,77,74,54,68,80,58,24,35,90,Data Science / AI
57,76,49,65,54,69,62,92,100,80,Civil Engineering
82,57,94,97,10,57,38,74,46,64,Mechanical Engineering
51,58,40,60,49,63,96,40,10,83,Software Development
86,65,76,47,11,13,29,57,76,70,Electronics & Communication
86,63,70,73,31,83,65,40,81,80,Electrical Engineering
55,54,84,82,88,92,60,16,83,84,Cybersecurity
90,76,72,43,91,59,32,61,50,96,Data Science / AI
70,71,99,87,65,39,22,100,26,94,Civil Engineering
98,80,59,77,25,90,83,60,90,63,Mechanical Engineering
78,57,64,71,51,36,21,21,13,85,Software Development
99,40,88,58,90,85,29,13,89,99,Software Development
54,89,80,97,83,58,13,26,68,75,Cybersecurity
87,100,78,72,40,93,38,48,34,98,Cloud / DevOps
80,90,58,63,58,43,94,16,45,40,Mechanical Engineering
70,40,72,41,90,12,91,84,23,44,Robotics / Automation
75,84,62,100,86,25,23,28,46,63,Data Science / AI
53,89,80,44,21,19,73,56,36,80,Mechanical Engineering
